201,28,200,0,HigginsHouse2,,false,Room
200,91,103,0,HigginsHouse2,,false,Room
node,152,103,0,HigginsHouse2,,false,None
203,152,122,0,HigginsHouse2,,false,Room
node,217,103,0,HigginsHouse2,,false,None
node,217,122,0,HigginsHouse2,,false,None
205,217,211,0,HigginsHouse2,,false,Room
node,267,211,0,HigginsHouse2,,false,None
node,296,211,0,HigginsHouse2,,false,None
209,352,211,0,HigginsHouse2,,false,Room
node,352,122,0,HigginsHouse2,,false,None
node,352,102,0,HigginsHouse2,,false,None
node,305,103,0,HigginsHouse2,,false,None
208,305,76,0,HigginsHouse2,,false,Room
node,256,103,0,HigginsHouse2,,false,None
North Down Stairs,256,76,0,HigginsHouse2,Higgins House North Down Stairs,true,Stairs
211,439,102,0,HigginsHouse2,,false,Room
node,415,102,0,HigginsHouse2,,false,None
node,415,122,0,HigginsHouse2,,false,None
node,415,211,0,HigginsHouse2,,false,None
216,415,249,0,HigginsHouse2,,false,Room
217,518,211,0,HigginsHouse2,,false,Room
node,518,299,0,HigginsHouse2,,false,None
node,600,194,0,HigginsHouse2,,false,None
node,745,192,0,HigginsHouse2,,false,None
227,689,236,0,HigginsHouse2,,false,Room
node,689,305,0,HigginsHouse2,,false,None
node,689,342,0,HigginsHouse2,,false,None
220,558,298,0,HigginsHouse2,,false,Room
node,518,324,0,HigginsHouse2,,false,None
node,558,324,0,HigginsHouse2,,false,None
node,558,366,0,HigginsHouse2,,false,None
node,479,366,0,HigginsHouse2,,false,None
node,479,324,0,HigginsHouse2,,false,None
Central Down Stairs,446,324,0,HigginsHouse2,Higgins House Central Down Stairs,true,Stairs
node,892,223,0,HigginsHouse2,,false,None
node,1057,268,0,HigginsHouse2,,false,None
236,1003,230,0,HigginsHouse2,,false,Room
node,916,365,0,HigginsHouse2,,false,None
240,1002,340,0,HigginsHouse2,,false,Room
node,891,365,0,HigginsHouse2,,false,None
node,846,365,0,HigginsHouse2,,false,None
node,846,306,0,HigginsHouse2,,false,None
node,789,365,0,HigginsHouse2,,false,None
node,689,365,0,HigginsHouse2,,false,None
node,477,480,0,HigginsHouse2,,false,None
node,477,586,0,HigginsHouse2,,false,None
252,435,480,0,HigginsHouse2,,false,Room
253,345,480,0,HigginsHouse2,,false,Room
node,396,540,0,HigginsHouse2,,false,None
256,407,616,0,HigginsHouse2,,false,Room
node,477,616,0,HigginsHouse2,,false,None
South Down Stairs,631,614,0,HigginsHouse2,Higgins House South Down Stairs,true,Stairs
node,596,644,0,HigginsHouse2,,false,None
node,627,644,0,HigginsHouse2,,false,None
node,629,669,0,HigginsHouse2,,false,None
265,700,690,0,HigginsHouse2,,false,Room
node,663,744,0,HigginsHouse2,,false,None
267,747,613,0,HigginsHouse2,,false,Room
node,663,789,0,HigginsHouse2,,false,None
node,713,785,0,HigginsHouse2,,false,None
node,742,826,0,HigginsHouse2,,false,None
264,742,795,0,HigginsHouse2,,false,Room
node,597,746,0,HigginsHouse2,,false,None
262,597,789,0,HigginsHouse2,,false,Room
node,576,827,0,HigginsHouse2,,false,None
263,656,894,0,HigginsHouse2,,false,Room
Central Up Stairs,604,324,0,HigginsHouse2,Higgins House Central Up Stairs,true,Stairs
232,846,223,0,HigginsHouse2,,false,Room
